name,description,price,tags,imageUrl,optionName,hidden,weight,prepaymentPercent,hideBuyBtn,bonusesPercent
SEHRLI QO‘LLAR,Тўгарак машғулотлари ишланмаси. ''SEHRLI QO‘LLAR''. Формат - А4 (оддий лист). Рангли. Ҳажми - 23 вароқ. Электрон вариантдаги формати - PDF.,23000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/e2356720-e462-11ea-8c36-13e96ffbf515.gif_1598092394392.gif,,,,,,
Yosh qo'shiqchilar,Тўгарак машғулотлари ишланмаси. ''Yosh qo'shiqchilar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 21 вароқ. Электрон вариантдаги формати - PDF.,21000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/287f2d60-e463-11ea-bd0e-05715eb7d579.gif_1598092512304.gif,,,,,,
Huquq,Тўгарак машғулотлари ишланмаси. ''Huquq''. Формат - А4 (оддий лист). Рангли. Ҳажми - 65 вароқ. Электрон вариантдаги формати - PDF.,65000,"эл_хук, т_хук",https://storage.googleapis.com/exprintsalesbot1597642119253/2dcac4a0-e463-11ea-bd0e-05715eb7d579.gif_1598092521352.gif,,,,,,
Ma'naviyat gulshani,Тўгарак машғулотлари ишланмаси. ''Ma'naviyat gulshani''. Формат - А4 (оддий лист). Рангли. Ҳажми - 18 вароқ. Электрон вариантдаги формати - PDF.,18000,"эл_тар, т_тар",https://storage.googleapis.com/exprintsalesbot1597642119253/367ba6f0-e463-11ea-bd0e-05715eb7d579.gif_1598092535694.gif,,,,,,
Мы говорим по-русски,Тўгарак машғулотлари ишланмаси. ''Мы говорим по-русски''. Формат - А4 (оддий лист). Рангли. Ҳажми - 40 вароқ. Электрон вариантдаги формати - PDF.,40000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/3bc0fca0-e463-11ea-bd0e-05715eb7d579.gif_1598092544539.gif,,,,,,
Chiroyli yozuv,Тўгарак машғулотлари ишланмаси. ''Chiroyli yozuv''. Формат - А4 (оддий лист). Рангли. Ҳажми - 62 вароқ. Электрон вариантдаги формати - PDF.,62000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/48fa9b60-e463-11ea-bd0e-05715eb7d579.gif_1598092566857.gif,,,,,,
Ifodali o'qish,Тўгарак машғулотлари ишланмаси. ''Ifodali o'qish''. Формат - А4 (оддий лист). Рангли. Ҳажми - 71 вароқ. Электрон вариантдаги формати - PDF.,71000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/4dc67b50-e463-11ea-bd0e-05715eb7d579.gif_1598092575057.gif,,,,,,
Веселая грамматика,Тўгарак машғулотлари ишланмаси. ''Веселая грамматика''. Формат - А4 (оддий лист). Рангли. Ҳажми - 34 вароқ. Электрон вариантдаги формати - PDF.,34000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/53e08620-e463-11ea-bd0e-05715eb7d579.gif_1598092585121.gif,,,,,,
Веселая грамматика,Тўгарак машғулотлари ишланмаси. ''Веселая грамматика''. Формат - А4 (оддий лист). Рангли. Ҳажми - 74 вароқ. Электрон вариантдаги формати - PDF.,74000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/5faeae00-e463-11ea-bd0e-05715eb7d579.gif_1598092604967.gif,,,,,,
Ifodali o'qish 3-sinf,Тўгарак машғулотлари ишланмаси. ''Ifodali o'qish 3-sinf''. Формат - А4 (оддий лист). Рангли. Ҳажми - 36 вароқ. Электрон вариантдаги формати - PDF.,36000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/63d91dd0-e463-11ea-bd0e-05715eb7d579.gif_1598092611885.gif,,,,,,
World&word,Тўгарак машғулотлари ишланмаси. ''World&word''. Формат - А4 (оддий лист). Рангли. Ҳажми - 68 вароқ. Электрон вариантдаги формати - PDF.,68000,"эл_инг, т_инг",https://storage.googleapis.com/exprintsalesbot1597642119253/6b750db0-e463-11ea-8c36-13e96ffbf515.gif_1598092624990.gif,,,,,,
English step by step,Тўгарак машғулотлари ишланмаси. ''English step by step''. Формат - А4 (оддий лист). Рангли. Ҳажми - 72 вароқ. Электрон вариантдаги формати - PDF.,72000,"эл_инг, т_инг",https://storage.googleapis.com/exprintsalesbot1597642119253/704867b0-e463-11ea-8c36-13e96ffbf515.gif_1598092632908.gif,,,,,,
Chiroyli yozuv,Тўгарак машғулотлари ишланмаси. ''Chiroyli yozuv''. Формат - А4 (оддий лист). Рангли. Ҳажми - 42 вароқ. Электрон вариантдаги формати - PDF.,42000,"с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/77ac0980-e463-11ea-8c36-13e96ffbf515.gif_1598092645287.gif,,,,,,
Yosh botaniklar,Тўгарак машғулотлари ишланмаси. ''Yosh botaniklar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 94 вароқ. Электрон вариантдаги формати - PDF.,94000,"эл_био, т_био",https://storage.googleapis.com/exprintsalesbot1597642119253/7faef890-e463-11ea-8c36-13e96ffbf515.gif_1598092658797.gif,,,,,,
В мире слов,Тўгарак машғулотлари ишланмаси. ''В мире слов''. Формат - А4 (оддий лист). Рангли. Ҳажми - 59 вароқ. Электрон вариантдаги формати - PDF.,59000,"с3эл, с3тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/8744f500-e463-11ea-8c36-13e96ffbf515.gif_1598092671483.gif,,,,,,
Kamalak,Тўгарак машғулотлари ишланмаси. ''Kamalak''. Формат - А4 (оддий лист). Рангли. Ҳажми - 39 вароқ. Электрон вариантдаги формати - PDF.,39000,"эл_расм, т_расм, с1эл, с2эл, с3эл, с4эл, с1тай, с2тай, с3тай, с4тай",https://storage.googleapis.com/exprintsalesbot1597642119253/8ce4c6c0-e463-11ea-8c36-13e96ffbf515.gif_1598092680749.gif,,,,,,
English Club 3,Тўгарак машғулотлари ишланмаси. ''English Club 3''. Формат - А4 (оддий лист). Рангли. Ҳажми - 36 вароқ. Электрон вариантдаги формати - PDF.,36000,"эл_инг, т_инг",https://storage.googleapis.com/exprintsalesbot1597642119253/9f6a9900-e463-11ea-8c36-13e96ffbf515.gif_1598092711857.gif,,,,,,
English Club 2,Тўгарак машғулотлари ишланмаси. ''English Club 2''. Формат - А4 (оддий лист). Рангли. Ҳажми - 31 вароқ. Электрон вариантдаги формати - PDF.,31000,"эл_инг, т_инг",https://storage.googleapis.com/exprintsalesbot1597642119253/a31180f0-e463-11ea-8c36-13e96ffbf515.gif_1598092717941.gif,,,,,,
Занимательная грамматика,Тўгарак машғулотлари ишланмаси. ''Занимательная грамматика''. Формат - А4 (оддий лист). Рангли. Ҳажми - 36 вароқ. Электрон вариантдаги формати - PDF.,36000,"с4эл, с4тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/a7a3da50-e463-11ea-8c36-13e96ffbf515.gif_1598092725602.gif,,,,,,
Занимательная грамматика,Тўгарак машғулотлари ишланмаси. ''Занимательная грамматика''. Формат - А4 (оддий лист). Рангли. Ҳажми - 74 вароқ. Электрон вариантдаги формати - PDF.,74000,"с4эл, с4тай, эл_рус, т_рус",https://storage.googleapis.com/exprintsalesbot1597642119253/ac775b60-e463-11ea-8c36-13e96ffbf515.gif_1598092733920.gif,,,,,,
Matematik sarguzashtlar,Тўгарак машғулотлари ишланмаси. ''Matematik sarguzashtlar''. Формат - А4 (оддий лист). Рангли. Ҳажми - 50 вароқ. Электрон вариантдаги формати - PDF.,50000,"с3эл, с3тай",https://storage.googleapis.com/exprintsalesbot1597642119253/f54114d0-e3aa-11ea-8c36-13e96ffbf515.gif_1598013399060.gif,,,,,,
